datetime,open,high,low,close,volume
2026-03-17T04:00:00Z,74514.52,74768.73,74452.69,74689.39,0.71913
2026-03-17T04:05:00Z,74526.84,74650.97,74471.37,74617.89,0.12689
2026-03-17T04:10:00Z,74655.34,74683.19,74601.94,74601.94,0.00887
2026-03-17T04:15:00Z,74701.8,74701.8,74469.82,74469.82,0.02545
2026-03-17T04:20:00Z,74488.58,74488.58,74353.01,74409.0,0.01601
2026-03-17T04:25:00Z,74397.94,74461.99,74387.51,74397.22,1.2134
2026-03-17T04:30:00Z,74445.97,74455.0,74154.14,74154.14,1.66983
2026-03-17T04:35:00Z,74155.44,74230.72,74045.0,74045.0,0.87268
2026-03-17T04:40:00Z,74070.4,74242.93,74070.4,74076.41,0.0745
2026-03-17T04:45:00Z,74095.3,74248.89,74095.3,74248.89,0.85092
2026-03-17T04:50:00Z,74239.83,74252.07,74205.46,74252.07,0.2012
2026-03-17T04:55:00Z,74265.64,74358.34,74222.96,74222.96,1.06861
2026-03-17T05:00:00Z,74186.08,74351.03,74127.96,74247.97,0.52139
2026-03-17T05:05:00Z,74258.1,74330.24,74258.1,74330.24,1.38724
2026-03-17T05:10:00Z,74309.57,74376.77,74309.57,74322.27,0.01035
2026-03-17T05:15:00Z,74301.07,74412.79,74301.07,74412.76,0.01271
2026-03-17T05:20:00Z,74337.82,74337.82,74230.71,74312.16,0.65717
2026-03-17T05:25:00Z,74360.79,74583.91,74360.79,74428.4,0.60643
2026-03-17T05:30:00Z,74411.4,74620.4,74349.15,74349.15,0.91989
2026-03-17T05:35:00Z,74345.92,74446.13,74114.85,74114.85,0.83002
2026-03-17T05:40:00Z,74157.73,74162.02,73954.71,73954.71,1.43559
2026-03-17T05:45:00Z,73960.1,74036.39,73806.9,73854.96,0.27247
2026-03-17T05:50:00Z,73890.32,74260.7,73890.32,74072.18,0.44164
2026-03-17T05:55:00Z,74120.3,74289.45,74004.05,74060.93,0.6878
2026-03-17T06:00:00Z,74030.61,74233.5,73928.92,73969.06,0.48051
2026-03-17T06:05:00Z,73957.91,74104.11,73893.67,73969.17,0.20782
2026-03-17T06:10:00Z,73990.22,74338.89,73913.46,74202.9,0.44011
2026-03-17T06:15:00Z,74161.2,74354.02,74093.43,74117.16,0.57575
2026-03-17T06:20:00Z,74181.2,74417.89,74179.55,74192.61,0.34381
2026-03-17T06:25:00Z,74227.64,74249.77,74152.66,74249.77,0.04314
2026-03-17T06:30:00Z,74257.58,74265.04,74122.56,74230.14,0.09158
2026-03-17T06:35:00Z,74280.27,74281.33,74244.06,74274.12,0.02025
2026-03-17T06:40:00Z,74257.99,74279.54,73995.07,74022.73,0.01053
2026-03-17T06:45:00Z,74042.21,74066.78,73968.07,73970.35,0.09634
2026-03-17T06:50:00Z,74014.21,74066.58,73993.24,74041.21,0.03181
2026-03-17T06:55:00Z,74041.21,74112.46,74041.21,74112.46,0.82915
2026-03-17T07:00:00Z,74100.34,74212.96,74100.34,74212.95,1.21011
2026-03-17T07:05:00Z,74213.45,74217.25,74146.61,74204.93,0.49027
2026-03-17T07:10:00Z,74204.93,74343.62,74204.93,74343.62,0.67088
2026-03-17T07:15:00Z,74366.03,74432.98,74365.72,74411.19,0.03735
2026-03-17T07:20:00Z,74386.4,74610.43,74375.94,74433.83,1.15554
2026-03-17T07:25:00Z,74400.27,74477.4,74400.27,74413.31,0.13078
2026-03-17T07:30:00Z,74412.56,74599.63,74330.9,74335.33,0.4989
2026-03-17T07:35:00Z,74383.9,74549.9,74310.47,74350.6,0.89223
2026-03-17T07:40:00Z,74364.8,74567.47,74343.89,74394.8,0.40651
2026-03-17T07:45:00Z,74413.7,74694.1,74346.09,74349.49,0.52883
2026-03-17T07:50:00Z,74339.03,74369.53,74258.66,74258.66,0.00289
2026-03-17T07:55:00Z,74251.52,74332.13,74247.7,74332.13,0.00214
2026-03-17T08:00:00Z,74331.95,74618.91,74292.83,74428.88,0.47015
2026-03-17T08:05:00Z,74488.69,74488.69,74313.37,74313.37,0.0362
2026-03-17T08:10:00Z,74302.81,74316.0,74186.82,74237.38,0.02113
2026-03-17T08:15:00Z,74217.5,74340.36,74164.57,74332.07,0.06937
2026-03-17T08:20:00Z,74326.08,74400.91,74280.89,74280.89,0.0024
2026-03-17T08:25:00Z,74303.98,74323.87,74272.94,74323.87,0.00045
2026-03-17T08:30:00Z,74322.61,74332.63,74258.23,74265.64,0.0012
2026-03-17T08:35:00Z,74290.35,74290.35,74201.91,74224.48,0.00135
2026-03-17T08:40:00Z,74223.24,74501.68,74223.24,74391.12,0.00386
2026-03-17T08:45:00Z,74403.61,74426.97,74390.42,74422.59,0.0012
2026-03-17T08:50:00Z,74409.69,74411.91,74330.16,74361.58,0.00165
2026-03-17T08:55:00Z,74355.31,74368.11,74164.58,74195.2,0.0021
2026-03-17T09:00:00Z,74204.79,74273.49,74085.57,74089.6,0.02126
2026-03-17T09:05:00Z,74126.59,74286.29,74046.6,74107.61,0.00475
2026-03-17T09:10:00Z,74127.5,74127.5,74056.02,74056.02,0.00238
2026-03-17T09:15:00Z,74064.1,74191.82,74013.84,74183.21,0.00345
2026-03-17T09:20:00Z,74209.0,74209.0,74152.45,74204.4,0.0018
2026-03-17T09:25:00Z,74340.66,74415.17,74204.15,74323.23,0.10607
2026-03-17T09:30:00Z,74281.07,74332.76,74181.7,74181.7,0.00238
2026-03-17T09:35:00Z,74194.6,74244.43,74194.6,74234.04,0.0015
2026-03-17T09:40:00Z,74219.42,74259.99,74203.57,74203.57,0.00075
2026-03-17T09:45:00Z,74151.99,74184.85,74131.88,74142.99,0.01774
2026-03-17T09:50:00Z,74175.23,74175.23,73986.93,73986.93,0.02114
2026-03-17T09:55:00Z,73941.2,73967.61,73846.55,73937.44,0.0745
2026-03-17T10:00:00Z,73926.32,73964.18,73879.33,73964.18,0.00879
2026-03-17T10:05:00Z,73881.11,73881.11,73586.6,73679.77,0.42517
2026-03-17T10:10:00Z,73674.07,73674.07,73638.38,73638.38,0.00178
2026-03-17T10:15:00Z,73719.5,73756.5,73611.15,73756.5,0.02966
2026-03-17T10:20:00Z,73756.5,73756.5,73756.5,73756.5,0.00054
2026-03-17T10:25:00Z,73767.1,73795.33,73761.06,73795.33,0.03129
2026-03-17T10:30:00Z,73738.19,73749.14,73670.62,73739.7,0.01634
2026-03-17T10:35:00Z,73740.69,73740.89,73619.58,73619.58,0.00089
2026-03-17T10:40:00Z,73744.36,73744.36,73646.06,73646.06,0.00043
2026-03-17T10:45:00Z,73646.06,73646.06,73646.06,73646.06,0.0
2026-03-17T10:50:00Z,73725.2,73730.2,73701.7,73701.7,0.0006
2026-03-17T10:55:00Z,73715.52,73779.9,73715.52,73779.9,0.00131
2026-03-17T11:00:00Z,73750.58,73825.62,73691.77,73801.78,0.00346
2026-03-17T11:05:00Z,73880.27,73919.81,73860.49,73906.01,0.01614
2026-03-17T11:10:00Z,73933.23,73952.38,73927.55,73952.38,0.00074
2026-03-17T11:15:00Z,73954.84,74125.42,73940.06,73940.11,1.41612
